industry,make_a,make_b,mean_a,mean_b,lift_%,p_value,is_significant
INDUSTRY_11,MAKE_1,MAKE_4,436.86206896551727,169.83333333333334,157.22987377753716,6.553431804896079e-08,True
INDUSTRY_11,MAKE_1,MAKE_3,436.86206896551727,658.1538461538462,-33.62310780093824,4.074371533962963e-05,False
INDUSTRY_11,MAKE_7,MAKE_4,596.1666666666666,169.83333333333334,251.03042198233555,0.0003674773557498805,True
INDUSTRY_11,MAKE_1,MAKE_7,436.86206896551727,596.1666666666666,-26.721486894238083,0.09725099454725843,False
INDUSTRY_11,MAKE_3,MAKE_7,658.1538461538462,596.1666666666666,10.397625857508453,0.5165994234020008,False
INDUSTRY_12,MAKE_1,MAKE_4,433.65625,695.0909090909091,-37.61157794925452,0.1561146548502607,False
INDUSTRY_13,MAKE_4,MAKE_1,288.2040816326531,306.63157894736844,-6.0096541191141775,0.665476739400273,False
INDUSTRY_2,MAKE_1,MAKE_4,379.7162162162162,566.7407407407408,-33.00001412993179,0.005013629648125654,False
INDUSTRY_2,MAKE_4,MAKE_6,566.7407407407408,418.3809523809524,35.460454763892045,0.07618108202647723,False
INDUSTRY_2,MAKE_1,MAKE_6,379.7162162162162,418.3809523809524,-9.241514448662194,0.616461102399939,False
INDUSTRY_3,MAKE_1,MAKE_4,674.4759036144578,484.15,39.3113505348462,4.967062330585536e-10,True
INDUSTRY_3,MAKE_4,MAKE_3,484.15,747.0,-35.18741633199465,0.020444107318753228,False
INDUSTRY_3,MAKE_1,MAKE_3,674.4759036144578,747.0,-9.708714375574589,0.48884993914741737,False
INDUSTRY_4,MAKE_1,MAKE_4,290.4313725490196,138.11111111111111,110.28820216743173,0.009191916106601507,True
INDUSTRY_5,MAKE_1,MAKE_4,461.4708994708995,370.98936170212767,24.38925400815689,0.004664242391392292,True
INDUSTRY_6,MAKE_1,MAKE_4,497.75,413.5,20.37484885126965,0.43574985449110104,False
INDUSTRY_7,MAKE_6,MAKE_15,284.4318181818182,712.3636363636364,-60.072103113833585,6.105702682130151e-10,False
INDUSTRY_7,MAKE_7,MAKE_15,368.2204724409449,712.3636363636364,-48.310040877355874,1.2420984205467418e-07,False
INDUSTRY_7,MAKE_5,MAKE_6,494.33720930232556,284.4318181818182,73.79813990653076,4.1270502956542304e-07,True
INDUSTRY_7,MAKE_5,MAKE_7,494.33720930232556,368.2204724409449,34.25033269479802,9.1044993628805e-07,True
INDUSTRY_7,MAKE_2,MAKE_15,292.64285714285717,712.3636363636364,-58.919455990665796,1.2164551226638135e-06,False
INDUSTRY_7,MAKE_15,MAKE_12,712.3636363636364,325.6,118.7849006030824,2.103051146530601e-06,True
INDUSTRY_7,MAKE_1,MAKE_6,466.83870967741933,284.4318181818182,64.13026948307191,3.0191006594121433e-06,True
INDUSTRY_7,MAKE_1,MAKE_7,466.83870967741933,368.2204724409449,26.782388437756083,4.52836155398753e-06,True
INDUSTRY_7,MAKE_4,MAKE_15,435.7253787878788,712.3636363636364,-38.833854432533606,5.17913656841584e-06,False
INDUSTRY_7,MAKE_3,MAKE_15,440.0263157894737,712.3636363636364,-38.230098600252546,2.8835732361127906e-05,False
INDUSTRY_7,MAKE_1,MAKE_15,466.83870967741933,712.3636363636364,-34.46623524181199,3.093100021663037e-05,False
INDUSTRY_7,MAKE_5,MAKE_15,494.33720930232556,712.3636363636364,-30.606057908045166,5.1436103178867116e-05,False
