lubrication_type,bearing_type_assigned_1,num_bearing_makes,bearing_makes
Grease Lubrication,Bearing_266,1,['MAKE_1']
Grease Lubrication,Bearing_273,1,['MAKE_4']
Grease Lubrication,Bearing_275,1,['MAKE_3']
Grease Lubrication,Bearing_276,1,['MAKE_6']
Grease Lubrication,Bearing_280,1,['MAKE_1']
Grease Lubrication,Bearing_281,1,['MAKE_1']
Grease Lubrication,Bearing_282,1,['MAKE_1']
Grease Lubrication,Bearing_3,1,['MAKE_1']
Grease Lubrication,Bearing_30,1,['MAKE_1']
Grease Lubrication,Bearing_301,1,['MAKE_7']
Grease Lubrication,Bearing_304,1,['MAKE_6']
Grease Lubrication,Bearing_311,1,['MAKE_3']
Grease Lubrication,Bearing_313,1,['MAKE_5']
Grease Lubrication,Bearing_314,1,['MAKE_4']
Grease Lubrication,Bearing_316,1,['MAKE_1']
Grease Lubrication,Bearing_318,1,['MAKE_1']
Grease Lubrication,Bearing_324,1,['MAKE_4']
Grease Lubrication,Bearing_332,1,['MAKE_4']
Grease Lubrication,Bearing_34,1,['MAKE_1']
Grease Lubrication,Bearing_340,1,['MAKE_3']
Grease Lubrication,Bearing_346,1,['MAKE_1']
Grease Lubrication,Bearing_348,1,['MAKE_1']
Grease Lubrication,Bearing_36,1,['MAKE_1']
Grease Lubrication,Bearing_364,1,['MAKE_1']
Grease Lubrication,Bearing_366,1,['MAKE_5']
Grease Lubrication,Bearing_367,1,['MAKE_1']
Grease Lubrication,Bearing_368,1,['MAKE_3']
Grease Lubrication,Bearing_37,1,['MAKE_1']
Grease Lubrication,Bearing_373,1,['MAKE_1']
Grease Lubrication,Bearing_38,1,['MAKE_1']
Grease Lubrication,Bearing_385,1,['MAKE_1']
Grease Lubrication,Bearing_399,1,['MAKE_1']
Grease Lubrication,Bearing_411,1,['MAKE_1']
Grease Lubrication,Bearing_417,1,['MAKE_4']
Grease Lubrication,Bearing_424,1,['MAKE_1']
Grease Lubrication,Bearing_425,1,['MAKE_7']
Grease Lubrication,Bearing_429,1,['MAKE_4']
Grease Lubrication,Bearing_431,1,['MAKE_6']
Grease Lubrication,Bearing_444,1,['MAKE_1']
Grease Lubrication,Bearing_452,1,['MAKE_4']
Grease Lubrication,Bearing_465,1,['MAKE_4']
Grease Lubrication,Bearing_47,1,['MAKE_5']
Grease Lubrication,Bearing_473,1,['MAKE_4']
Grease Lubrication,Bearing_474,1,['MAKE_4']
Grease Lubrication,Bearing_477,1,['MAKE_4']
Grease Lubrication,Bearing_480,1,['MAKE_1']
Grease Lubrication,Bearing_486,1,['MAKE_1']
Grease Lubrication,Bearing_489,1,['MAKE_3']
Grease Lubrication,Bearing_49,1,['MAKE_1']
Grease Lubrication,Bearing_5,1,['MAKE_1']
Grease Lubrication,Bearing_50,1,['MAKE_4']
Grease Lubrication,Bearing_501,1,['MAKE_1']
Grease Lubrication,Bearing_51,1,['MAKE_5']
Grease Lubrication,Bearing_510,1,['MAKE_1']
Grease Lubrication,Bearing_512,1,['MAKE_3']
Grease Lubrication,Bearing_514,1,['MAKE_7']
Grease Lubrication,Bearing_517,1,['MAKE_1']
Grease Lubrication,Bearing_52,1,['MAKE_1']
Grease Lubrication,Bearing_524,1,['MAKE_2']
Grease Lubrication,Bearing_526,1,['MAKE_1']
Grease Lubrication,Bearing_527,1,['MAKE_1']
Grease Lubrication,Bearing_532,1,['MAKE_1']
Grease Lubrication,Bearing_534,1,['MAKE_3']
Grease Lubrication,Bearing_535,1,['MAKE_4']
Grease Lubrication,Bearing_55,1,['MAKE_4']
Grease Lubrication,Bearing_56,1,['MAKE_1']
