bearing_type_assigned_1,best_industry,avg_operational_days,record_count
Bearing_193,INDUSTRY_7,880.1666666666666,12
Bearing_198,INDUSTRY_1,321.8,10
Bearing_20,INDUSTRY_1,639.8,5
Bearing_200,INDUSTRY_13,320.3125,16
Bearing_204,INDUSTRY_7,539.4444444444445,9
Bearing_205,INDUSTRY_5,1000.6,5
Bearing_212,INDUSTRY_7,382.2,10
Bearing_213,INDUSTRY_5,326.0,13
Bearing_214,INDUSTRY_7,508.8125,16
Bearing_215,INDUSTRY_5,483.1034482758621,29
Bearing_22,INDUSTRY_3,554.6,5
Bearing_220,INDUSTRY_7,602.7777777777778,9
Bearing_223,INDUSTRY_7,468.875,24
Bearing_224,INDUSTRY_1,649.4,5
Bearing_225,INDUSTRY_7,368.09090909090907,11
Bearing_228,INDUSTRY_7,309.6666666666667,18
Bearing_23,INDUSTRY_1,572.3333333333334,9
Bearing_233,INDUSTRY_7,111.0,6
Bearing_236,INDUSTRY_3,1040.5,12
Bearing_237,INDUSTRY_7,289.1666666666667,18
Bearing_24,INDUSTRY_7,1060.625,8
Bearing_241,INDUSTRY_7,432.7142857142857,7
Bearing_242,INDUSTRY_7,262.47058823529414,17
Bearing_245,INDUSTRY_7,376.82608695652175,23
Bearing_249,INDUSTRY_1,290.90909090909093,11
Bearing_26,INDUSTRY_3,468.83870967741933,31
Bearing_264,INDUSTRY_7,237.63636363636363,11
Bearing_266,INDUSTRY_1,395.2,5
Bearing_27,INDUSTRY_7,684.0769230769231,13
Bearing_276,INDUSTRY_1,1210.3333333333333,6
Bearing_283,INDUSTRY_7,386.0,10
Bearing_286,INDUSTRY_7,291.15384615384613,26
Bearing_29,INDUSTRY_3,1057.090909090909,11
Bearing_3,INDUSTRY_1,798.6190476190476,84
Bearing_30,INDUSTRY_3,669.9130434782609,23
Bearing_304,INDUSTRY_7,188.83333333333334,18
Bearing_31,INDUSTRY_5,383.5,6
Bearing_321,INDUSTRY_7,712.3636363636364,11
Bearing_33,INDUSTRY_8,881.7,10
Bearing_330,INDUSTRY_5,468.46153846153845,13
Bearing_339,INDUSTRY_1,871.375,8
Bearing_34,INDUSTRY_7,607.3461538461538,26
Bearing_340,INDUSTRY_11,655.3,10
Bearing_341,INDUSTRY_7,206.88741721854305,151
Bearing_343,INDUSTRY_7,337.2857142857143,7
Bearing_345,INDUSTRY_5,413.75,12
Bearing_347,INDUSTRY_7,204.0625,32
Bearing_353,INDUSTRY_5,375.4375,16
Bearing_367,INDUSTRY_7,590.6,10
Bearing_368,INDUSTRY_1,136.0,6
Bearing_37,INDUSTRY_1,624.375,8
Bearing_377,INDUSTRY_11,598.1428571428571,14
Bearing_379,INDUSTRY_7,521.8888888888889,9
Bearing_38,INDUSTRY_7,525.1978021978022,91
Bearing_383,INDUSTRY_7,143.9090909090909,11
Bearing_384,INDUSTRY_7,171.42857142857142,7
Bearing_4,INDUSTRY_1,1015.8333333333334,18
Bearing_400,INDUSTRY_7,409.5,8
Bearing_402,INDUSTRY_1,452.8333333333333,6
Bearing_41,INDUSTRY_7,732.5,8
Bearing_410,INDUSTRY_1,704.2,15
Bearing_427,INDUSTRY_7,315.46666666666664,15
Bearing_43,INDUSTRY_7,745.3636363636364,11
Bearing_45,INDUSTRY_2,441.5833333333333,12
Bearing_46,INDUSTRY_1,677.4545454545455,11
Bearing_47,INDUSTRY_1,606.7777777777778,9
Bearing_48,INDUSTRY_5,826.6,15
Bearing_49,INDUSTRY_3,609.8333333333334,6
Bearing_5,INDUSTRY_1,720.3333333333334,27
Bearing_501,INDUSTRY_4,207.7,10
Bearing_51,INDUSTRY_7,519.6984126984127,63
Bearing_52,INDUSTRY_7,607.5555555555555,45
Bearing_53,INDUSTRY_7,672.5882352941177,17
Bearing_54,INDUSTRY_7,738.4444444444445,9
Bearing_55,INDUSTRY_7,948.3571428571429,14
Bearing_58,INDUSTRY_1,572.75,8
Bearing_59,INDUSTRY_7,230.35714285714286,14
Bearing_6,INDUSTRY_1,738.7142857142857,35
Bearing_60,INDUSTRY_7,366.0689655172414,29
Bearing_61,INDUSTRY_3,568.6,5
Bearing_63,INDUSTRY_7,523.0526315789474,19
Bearing_66,INDUSTRY_1,748.4,25
Bearing_67,INDUSTRY_7,351.8,15
Bearing_678,INDUSTRY_2,118.63636363636364,11
Bearing_69,INDUSTRY_7,494.4761904761905,42
Bearing_7,INDUSTRY_3,752.0,9
Bearing_75,INDUSTRY_11,596.1666666666666,12
Bearing_76,INDUSTRY_7,555.074074074074,27
Bearing_8,INDUSTRY_1,815.6,15
Bearing_80,INDUSTRY_9,611.2857142857143,7
Bearing_81,INDUSTRY_3,594.9,10
Bearing_82,INDUSTRY_1,455.55,20
Bearing_86,INDUSTRY_7,487.95652173913044,23
Bearing_88,INDUSTRY_7,587.8823529411765,17
Bearing_9,INDUSTRY_3,747.0,17
Bearing_91,INDUSTRY_7,510.95,20
Bearing_93,INDUSTRY_3,679.4,5
Bearing_94,INDUSTRY_7,450.037037037037,27
Bearing_96,INDUSTRY_3,977.3333333333334,9
Bearing_98,INDUSTRY_7,466.8333333333333,6
Bearing_99,INDUSTRY_7,341.3,10
